Statement Author,Statement,Rating
Hillary Clinton,"Says of Donald Trump, ""He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms.""",true
Dan Patrick,"""Several elected state officials have opened their homes to children in need of loving families.""",true
Hillary Clinton,"Says Donald Trump ""was asked if he would defend our allies. He said well, first he'd want to know if they made any payments to us to defend them.""",true
Campaign to Regulate Marijuana Like Alcohol,"Department of Veterans Affairs doctors ""are prohibited from recommending medical marijuana.""",true
Jill Stein,"""We’re already bombing seven countries.""",true
Rob Portman,"Says Ted Strickland ""in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I don’t know where he is on this issue.""",true
National Republican Congressional Committee,"""Zephyr Teachout says she is against Super PACs despite taking money from Super PAC donors""",true
Hillary Clinton,"Says Donald Trump ""used undocumented labor to build the Trump Tower.""",true
Hillary Clinton,"""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.""",true
Donald Trump,"""Heroin .. pours across our southern borders.""",true
Hillary Clinton,"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him.",true
Patrick Murphy,"""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, he went on to say he doesn't trust Donald Trump with the nuclear codes.""",true
Bruce Elfant,Says over 90 percent of Travis County’s eligible residents have registered to vote.,true
Hillary Clinton,"""We've had Muslims in America since George Washington.""",true
Barack Obama,"""Refugees are subject to more rigorous screening than the average tourist in the U.S.""",true
Hillary Clinton,"Says Donald Trump’s tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""",true
Hillary Clinton,"Says Paul Ryan ""is still endorsing Trump.""",true
Hillary Clinton,"""You can look at the propaganda on a lot of the terrorists' sites and what Donald Trump says about Muslims is used to recruit fighters.""",true
Hillary Clinton,"""Right now we are at 90 percent health insurance covered. That's the highest we've ever been in our country.""",true
Paul Ryan,"""Repeated requests for additional security in Benghazi were routinely denied"" by Hillary ""Clinton’s State Department.""",true
Colleen Deacon,"Says Rep. John Katko ""promised he wouldn’t vote to defund Planned Parenthood and since he’s been in office he’s done that four times""",true
Tim Kaine,"Says Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""",true
Tim Kaine,"""Richard Nixon released tax returns when he was under audit.""",true
Freedom Partners Action Fund,"Says Senate candidate Katie McGinty ""made thousands from companies she previously regulated.""",true
Bruce Rauner,"Even our attorney general who is a strong Democrat, she has said that we need causation in our workers’ comp system. That’s the No. 1 thing pushing our manufacturing jobs out of Illinois.",true
María Teresa Kumar,"""Undocumented immigrants pay $12 billion of taxes every single year.""",true
Hillary Clinton,"Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",true
Hillary Clinton,"According to ""independent experts,"" Donald Trump's tax plan ""would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.""",true
Donald Trump,"""In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.""",true
Hillary Clinton,"""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""",true
Andrew Cuomo,"""Most private sector jobs in the history of Buffalo exist in Buffalo today""",true
Paul Bettencourt,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,true
National Republican Congressional Committee,"Tom Suozzi raised taxes ""by hundreds of millions of dollars"" as Nassau County executive.",true
John Taylor,"""In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.""",true
Donald Trump,"""We spend more per student than almost any other major country in the world.""",true
Charlie Crist,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",true
Michael Bennet,"Says that Republican Darryl Glenn has described Democrats as ""evil"" and has said he's ""tired of hearing about Republicans reaching across the aisle.""",true
Charley Wilkison,"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""",true
Elaine Phillips,"In the past decade in New York State ""more than 30 current and former state officeholders have been convicted, sanctioned or accused of wrongdoing — more than any other state.""",true
Hillary Clinton,"""Latinos are 17 percent of our country's population but hold only 2 percent of its wealth.""",true
Tim Kaine,"""When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate.""",true
Hillary Clinton,"""Trump Management was charged with discriminating against African-Americans and breaking federal law.""",true
Barack Obama,"Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",true
Donald Trump,"Heroin comes in the United States ""from the southern border.""",true
Facebook posts,Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,pants-fire
Viral image,Video shows U.S. Secret Service agents are demons.,pants-fire
Viral image,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,pants-fire
Facebook posts,“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,pants-fire
Scott Adams,"The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”",pants-fire
Facebook posts,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,pants-fire
Facebook posts,President Joe Biden is “in Gitmo.”,pants-fire
Facebook posts,Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,pants-fire
Bloggers,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,pants-fire
Facebook posts,“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,pants-fire
Instagram posts,“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,pants-fire
Tucker Carlson,Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,pants-fire
Facebook posts,The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,pants-fire
Facebook posts,“The moon is a habitable place.”,pants-fire
Facebook posts,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,pants-fire
Viral image,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,pants-fire
Facebook posts,President Joe Biden was “shot” in a “behind-the-scenes execution.”,pants-fire
Bloggers,“Putin decimates another adrenochrome warehouse in Ukraine.”,pants-fire
Instagram posts,Winston Churchill didn’t mention the Holocaust in his memoirs because it didn’t happen.,pants-fire
George Santos,“I never claimed to be Jewish.”,pants-fire
Tucker Carlson,"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",pants-fire
Viral image,President Joe Biden said “this s--- will turn your pacemaker off.”,pants-fire
Bloggers,Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”,pants-fire
Tweets,The Kansas City Chiefs’ Super Bowl win has been “put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.”,pants-fire
Instagram posts,“Joe Biden put his pants on backwards”,pants-fire
Facebook posts,Photos show someone in a President Joe Biden mask at the State of the Union.,pants-fire
Instagram posts,"Earthquake in Turkey and Syria is ""a systemic attack against Kurdish people.""",pants-fire
Tweets,"Image shows a ""Super Bowl script was leaked.”",pants-fire
Instagram posts,“‘Satellites’ are on balloons and not in space.”,pants-fire
Tweets,"In Ukraine, 2,458 NATO soldiers and 234 NATO military trainers have died, some of whom are from the U.S.",pants-fire
Instagram posts,"Joe Biden said to transgender women, “you will never be a real woman.”",pants-fire
Facebook posts,Black Americans are not descended from people who were taken from Africa to be enslaved.,pants-fire
Instagram posts,“NASA stopped exploring the ocean.”,pants-fire
Facebook posts,The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”,pants-fire
Viral image,A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”,pants-fire
Facebook posts,Hospital photo of Damar Hamlin proves “he’s a corpse.”,pants-fire
Instagram posts,The sinking of the Titanic was orchestrated by the Rothschilds and J.P. Morgan to kill prominent businessmen who opposed the creation of the Federal Reserve.,pants-fire
Facebook posts,"Sen. Josh Hawley told professor, “I will not use your pronouns.”",pants-fire
Bloggers,“Putin destroys adrenochrome lab in Ukraine.”,pants-fire
Facebook posts,Actor Isaac Kappy was murdered for exposing Hollywood pedophiles.,pants-fire
TikTok posts,Damar Hamlin wasn’t at the Buffalo Bills' playoff game.,pants-fire
Instagram posts,"""New York is bombed. At this moment, there are many injured.”",pants-fire
Instagram posts,Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”,pants-fire
Instagram posts,Video shows hidden theater “where elites sacrifice kids.”,pants-fire
Instagram posts,Joan Rivers was killed for revealing that Barack Obama is gay and Michelle Obama is transgender.,pants-fire
Instagram posts,"Magic Johnson tested positive for HIV ""because Fauci’s gain of function study used a contaminated Hepatitis B vaccine.""",pants-fire
Viral image,Video shows John F. Kennedy Jr. at Donald Trump’s presidential inauguration.,pants-fire
Viral image,Video shows Hillary Clinton being arrested.,pants-fire
Instagram posts,“Lula's staff infiltrated and caused damage while the Brazilian Patriots cleaned up.”,pants-fire
Instagram posts,"Tom Hanks shouting ""sexy baby"" is connected to Jeffery Epstein and pedophilia.",pants-fire
Viral image,“The Simpsons predicted Pizzagate.”,pants-fire
Viral image,A video shows lawmakers in compromising positions with children.,pants-fire
Facebook posts,A video shows Rep. Jim Jordan threatening House Speaker Nancy Pelosi with “‘possible’ jail time.”,pants-fire
Viral image,"Says U.S. Rep. Katie Porter, D-Calif., “says pedophilia isn’t a crime — it’s an identity.”",pants-fire
Facebook posts,"Video shows Attorney General Merrick Garland saying, “Wait for revenge.”",pants-fire
Instagram posts,Early vote counts after the polls closed in Georgia’s U.S. Senate runoff are evidence of election fraud.,pants-fire
Viral image,“JAG charges Nancy Pelosi with treason and seditious conspiracy.”,pants-fire
Instagram posts,Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.,pants-fire
Instagram posts,Drone footage confirms Jeffrey Epstein is alive.,pants-fire
Instagram posts,Paul Pelosi hasn’t been seen in public for months because he had mpox.,pants-fire
Viral image,News clip showing Herschel Walker with early lead in Georgia U.S. Senate runoff is evidence of fraud.,pants-fire
Viral image,“‘Child trafficking camp’ discovered in Arizona.”,pants-fire
Instagram posts,Kirstie Alley faked her death.,pants-fire
Viral image,"President Joe Biden’s daughter-in-law tweeted, “The press is also covering up serious health issues that my father in law is facing. The plan is for Kamala to get a one track ride to the nomination in 2024.”",pants-fire
Instagram posts,"""Climate activists vow to slaughter millions of dogs to ‘reduce carbon pawprint.’”",pants-fire
Donald Trump,"“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”",pants-fire
Viral image,Photo shows Rep. Adam Schiff and a “little boy he killed.”,pants-fire
Instagram posts,Henry Kissinger’s “deathbed confession” shows “Adolf Hitler was buried in Spain” and lived to age 68.,pants-fire
Kanye West,Hitler “didn’t kill 6 million Jews” and “the Holocaust is not what happened.”,pants-fire
Instagram posts,Rod Rosenstein and John Podesta are the sons of Nazi leaders.,pants-fire
Viral image,Video confirms Pfizer’s CEO is “reptilian.”,pants-fire
Instagram posts,No NASA Challenger rocket blew up with people on it.,pants-fire
Tweets,The Club Q shooting was a “false flag.”,pants-fire
Instagram posts,Trump tweeted about his return to Twitter on Nov. 19.,pants-fire
Instagram posts,The Arizona gubernatorial race was a “fraudulent election.”,pants-fire
Viral image,“Bill Gates tells G20 world leaders that ‘death panels’ will soon be required.”,pants-fire
Instagram posts,A fake Nancy Pelosi said she won’t seek the speaker position again because the real Pelosi was arrested in 2021.,pants-fire
Viral image,The number of followers Katie Hobbs and Kari Lake have on Instagram suggests election fraud.,pants-fire
Donald Trump,"""They say the ocean will rise one-eighth of an inch over the next 200 to 300 years.""",pants-fire
Instagram posts,Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”,pants-fire
Viral image,“European royals killing naked children for fun at hunting parties.”,pants-fire
Viral image,Photo shows Jeff Bezos’s clone.,pants-fire
Viral image,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”,pants-fire
Instagram posts,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",pants-fire
Instagram posts,Split election results show the Arizona governor’s race was rigged.,pants-fire
Viral image,Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”,pants-fire
Viral image,"No, the Pennsylvania Senate race wasn’t ‘rigged’",pants-fire
Donald Trump,"In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen.""",pants-fire
Donald Trump,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",pants-fire
Instagram posts,Democrats used “47 million mail-in ballots” to steal “every election in the country.”,pants-fire
Viral image,Video shows a Philadelphia poll worker committing election fraud.,pants-fire
Viral image,Photos shows 2022 “midterm ballots in trash.”,pants-fire
Instagram posts,The number of followers John Fetterman and Mehmet Oz have on Instagram proves the Pennsylvania Senate race was illegitimate.,pants-fire
Instagram posts,Graph shows Gretchen Whitmer stole the Michigan gubernatorial election.,pants-fire
Instagram posts,Map proves the Pennsylvania Senate election was rigged.,pants-fire
Instagram posts,The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”,pants-fire
Instagram posts,“Minnesota was stolen from Scott Jensen.”,pants-fire
Viral image,USA Today reported that “5 children have gone missing inside a Chuck E. Cheese.”,pants-fire
Charlie Kirk,“Maricopa County intentionally reduced the polling places.”,pants-fire
Viral image,“Pennsylvania judge allows ballots to count that are received up until November 14th.”,pants-fire
Instagram posts,A Twitter employee was laid off after receiving a meme.,pants-fire
Viral image,A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,pants-fire
Instagram posts,“DISGRUNTLED EX-EMPLOYEE? Twitter CEO Elon Musk's account is presently suspended.”,pants-fire
Donald Trump,"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",pants-fire
Instagram posts,The attack on Paul Pelosi was a “false flag.”,pants-fire
Viral image,"Speaker Nancy Pelosi held a T-shirt that reads, “I’m proud of my gay husband.”",pants-fire
Instagram posts,“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”,pants-fire
Facebook posts,“Pennsylvania is under a court order to count their ballots on election day and not after!!”,pants-fire
Ron DeSantis,"It's not true that ""the United States was built on stolen land.""",pants-fire
Tweets,Thunderous crowd at Philadelphia Phillies game “literally registering on the Penn State University Brandywine seismograph station.”,pants-fire
Viral image,CNN reported Donald Trump died on Nov. 1.,pants-fire
Citizens for Sanity,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",pants-fire
Viral image,“Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.”,pants-fire
Georgia Gun Owners,"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""",pants-fire
Joe Biden,"""On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.""",pants-fire
Viral image,“Two far-right websites attributed to David DePape to smear conservatives were fabricated — they were created Friday.”,pants-fire
Viral image,Bill Gates’ daughters aren’t vaccinated.,pants-fire
Viral image,House Speaker Nancy Pelosi “doesn’t even have surveillance cameras around her house.”,pants-fire
Donald Trump,"At the Pelosi house, “the glass it seems was broken from the inside to the out, so it wasn’t a break-in, it was a breakout.”",pants-fire
Instagram posts,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,pants-fire
Viral image,"Security cameras at Nancy Pelosi’s San Francisco home malfunctioned “for the duration of the break-in, so officials have ended their investigation.”",pants-fire
Instagram posts,"“If outer space was a vacuum, astronauts would train in vacuum chambers. Not in swimming pools. Outer Space is a hoax.”",pants-fire
Instagram posts,"“If you use the US Postal Service certified mail or registered mail, they can do anything they want with those ballots."" They “can burn your mail and they won't get in any trouble.”",pants-fire
J.D. Vance,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,pants-fire
Instagram posts,"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",pants-fire
Instagram posts,Mailing in a ballot “gives the bad guys a chance to know how many ballots they need to make.”,pants-fire
Viral image,Video clips show staged war footage from Ukraine.,pants-fire
Instagram posts,Today’s high food prices were planned during a 2015 food shortage simulation.,pants-fire
Instagram posts,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,pants-fire
Instagram posts,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",pants-fire
Viral image,"A chyron on Sean Hannity’s show said, “Dr Oz admits he’s a medical quack.”",pants-fire
Viral image,There are no photos of “Biden in the Oval Office” from after early 2021.,pants-fire
Instagram posts,"A House Republican plan says that if the GOP wins the majority, “Retirees who have a pension, IRAs, 401k, disabled veteran benefits will be ineligible for Social Security benefits.”",pants-fire
Instagram posts,"A video shows an actor “getting into character before his press interview less than 24 hours after the supposed killing of his 6-year-old daughter.""",pants-fire
Viral image,"There are “100,000 kids in cages” under the Getty art museum.",pants-fire
Instagram posts,Video shows Hillary Clinton talking about a glass dome over the Earth.,pants-fire
Viral image,Photo shows a taxi driver in New York City who “drives around taking people to kill.”,pants-fire
Facebook posts,Dark spots on potato chips are “infected with throat mold.”,pants-fire
Viral image,“Trans species man who self-identifies as a deer accidentally shot by hunters.”,pants-fire
Viral image,Barack Obama said he walks with his “husband Michael and hold hands.”,pants-fire
Nick Myers,Federal aid to tribal governments is “foreign aid.”,pants-fire
Facebook posts,“Kamala Harris resigns in shock after Biden’s ‘mandatory’ border trip…Trump jails ‘corrupt’ VP.”,pants-fire
Facebook posts,The government is giving every household a $500 Walmart shopping credit to help with inflation.,pants-fire
Facebook posts,North Korea has taken military action against Russia.,pants-fire
Facebook posts,"Parasite cleanses ""kill herpes by starving the parasites in the stomach.""",pants-fire
Jim Marchant,“President Trump and I lost an election in 2020 because of a rigged election.”,pants-fire
Ron Johnson,"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",pants-fire
Instagram posts,"COVID was ""so bad one year, they just forgot to give us a hurricane? What’s really going on here.”",pants-fire
Facebook posts,“The Obama Foundation stored classified documents in an abandoned furniture warehouse.”,pants-fire
Facebook posts,Aileen Cannon has been arrested.,pants-fire
Facebook posts,“Dr. Oz wins seat.”,pants-fire
Restoration PAC,"Says Mandela Barnes supports killing “preemies” – “infants born prior to 37 weeks of pregnancy""",pants-fire
Instagram posts,Hurricane Ian was orchestrated as part of a pandemic-related conspiracy to devastate Floridians.,pants-fire
Instagram posts,"""Walrus seen on Florida streets after Hurricane Ian hits land.""",pants-fire
Instagram posts,“All weather is artificially controlled.”,pants-fire
Facebook posts,"At an Atlanta Braves celebration, President Joe Biden “demanded that all the little kids come up on stage to sit on his lap.”",pants-fire
Tim Michels,"“You know how many convicted felons Scott Walker let out during his eight years early on parole? Zero. Tony Evers is approaching 1,000 of these that he’s let out early.""",pants-fire
Facebook posts,House Democrats kicked Nancy Pelosi from office.,pants-fire
Facebook posts,“Future and Malia Obama are expecting first child together.”,pants-fire
Mark Finchem,"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",pants-fire
Viral image,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,pants-fire
Facebook posts,"If Jeff Bezos’ net worth reaches $1 trillion, “he could literally end world poverty and give everyone $1 billion and he will still have $91.5 billion left.”",pants-fire
Facebook posts,Barack and Michelle Obama are not the real parents of their children.,pants-fire
Facebook posts,“Obama & Clinton are being arrested by the military.”,pants-fire
Viral image,Video shows Hillary Clinton popping a brown paper bag during a press conference.,pants-fire
Instagram posts,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",pants-fire
Viral image,“The sun is not 93 million miles away … it is local and under a firmament dome.”,pants-fire
Tweets,The Clintons killed Ken Starr.,pants-fire
Instagram posts,“No plane debris was found at the Pentagon.”,pants-fire
Facebook posts,"Video shows a statement from Donald Trump on Sept. 8, 2022.",pants-fire
Facebook posts,A Boeing 757 didn’t fly into the Pentagon on 9/11.,pants-fire
Facebook posts,King Charles III signed “a proclamation stating that Donald Trump won the 2020 presidential election and is the rightful president by law.”,pants-fire
Viral image,"Barack Obama urged people on Sept. 10, 2001, to “report to work tomorrow” at the World Trade Center.",pants-fire
Viral image,“North Korea confirms it has landed a man on the sun.”,pants-fire
Facebook posts,Queen Elizabeth II was a reptile.,pants-fire
Viral image,A “13 or 15 year old boy escapes Buckingham Palace” in video.,pants-fire
Instagram posts,“Prince was sacrificed for (Queen Elizabeth II’s) 90th birthday.”,pants-fire
Facebook posts,"“We all know the Queen’s been dead for a while now,” and her death is part of a dark conspiracy involving pedophilia or child trafficking.",pants-fire
Instagram posts,“Queen Elizabeth shot dead in Detroit.”,pants-fire
Viral image,Video proves “space is fake.”,pants-fire
Viral image,“Naomi Biden says Joe Biden died four years ago.”,pants-fire
Viral image,Video shows Joe Biden has a body double.,pants-fire
Facebook posts,President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.,pants-fire
Facebook posts,Joe Biden threatened to assassinate Ukraine’s former president.,pants-fire
Facebook posts,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",pants-fire
Facebook posts,The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,pants-fire
Facebook posts,"The National Guard was activated Jan. 6, 2021, and “is in complete control.”",pants-fire
Mark Finchem,"“In Arizona, we have flood the zone with fake ballots.”",pants-fire
Facebook posts,The Supreme Court will put Donald Trump back in office in October,pants-fire
Facebook posts,"""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",pants-fire
Viral image,Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”,pants-fire
Viral image,An image shows a chyron on Tucker Carlson’s show that said “straight men turning homo after ‘gay hypnosis.’”,pants-fire
Facebook posts,Quotes Sarah Palin as saying “when Jesus celebrated Easter with his disciples there were no Easter bunnies or egg hunts.”,pants-fire
Facebook posts,Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.,pants-fire
Nikki Fried,"""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.",pants-fire
Viral image,Photo shows parents who changed their baby’s gender identity.,pants-fire
Viral image,Video shows Congress voting for a highly classified “Homeland Terrorism Preparedness Bill.”,pants-fire
Facebook posts,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.",pants-fire
Facebook posts,"“Liz Cheney cries like kids after loses in ‘primary’ against Trump’s pick,” two days before the primary election.",pants-fire
Donald Trump,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""",pants-fire
TikTok posts,"A ""Delta Force” seized a shipment of weapons headed to the IRS.",pants-fire
Facebook posts,Brittney Griner is really a man.,pants-fire
Facebook posts,"Consuming “rice and beans, milk, cheese, butter and eggs” causes disease by age 30.",pants-fire
Facebook posts,"""The Sun is out of place, the Moon is out of place and the stars are out of place. The compasses are off"" because of a shift in the Earth’s poles.",pants-fire
The Gateway Pundit,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",pants-fire
Viral image,NASA photos of the moon and Earth show that “space is fake.”,pants-fire
Instagram posts,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,pants-fire
Facebook posts,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",pants-fire
Facebook posts,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,pants-fire
Instagram posts,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",pants-fire
Facebook posts,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",pants-fire
Donald Trump,Ranked choice voting in Alaska is a “total rigged deal.”,pants-fire
Viral image,George Floyd and COVID-19 “never existed.”,pants-fire
Facebook posts,“Biden threatens to assassinate Ukraine president.”,pants-fire
Instagram posts,"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""",pants-fire
Facebook posts,"“Drought is a lie” designed to limit farming, reduce the food supply and ultimately control Americans.",pants-fire
Facebook posts,"CNN coverage has evidence of the “single most egregious, real-time example of electronic vote fraud.”",pants-fire
Facebook posts,Claims the James Webb Space Telescope is “fakery they got for the masses”,pants-fire
Emily Compagno,"In Kenya, “pregnant women can’t leave the house, so they absolutely have no constructive right to vote.”",pants-fire
Donald Trump,"The Wisconsin Supreme Court decision declaring ballot drop boxes illegal ""includes the 2020 Presidential Election.""",pants-fire
Facebook posts,Images from Hunter Biden’s laptop show Joe Biden naked with a young girl.,pants-fire
Tweets,There are no artifacts to prove that slave ships existed.,pants-fire
Facebook posts,House Democrats have kicked Rep. Ilhan Omar out of Congress,pants-fire
Viral image,Anthony Bourdain and Chris Cornell were killed while working on a documentary about “widespread pedophilia.”,pants-fire
Facebook posts,Fast food chain Wendy’s was “exposed for using horse meat.”,pants-fire
Facebook posts,“Biden impeachment in progress.”,pants-fire
Viral image,Video shows Joe Biden putting a Medal of Honor on a Vietnam War veteran backward.,pants-fire
Facebook posts,“SCOTUS overturned the 2020 election.”,pants-fire
Viral image,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,pants-fire
Facebook posts,"The mass shooting in Highland Park, Illinois, was a “false flag.”",pants-fire
Viral image,Says Marjorie Taylor Greene said “246 years ago Jesus Christ performed his miracle of making a single days worth of bullets last 8 days.”,pants-fire
Facebook posts,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,pants-fire
Facebook posts,“Joe Biden just resigned from the White House.”,pants-fire
Instagram posts,The Clintons and Bushes were “involved in orchestrating the assassination of JFK Jr.”,pants-fire
Viral image,A photo shows Marjorie Taylor Greene wearing a Soviet shirt and giving a Nazi salute.,pants-fire
Viral image,"Says Jen Psaki said, “President Biden might need kneepads for riding his bike, but the last guy needed kneepads for visiting the Kremlin.”",pants-fire
Monica Crowley,"Soviet and Chinese communists have “grabbed control” of U.S. entertainment, movies, television, music, academia, K-12 education and the news media.",pants-fire
Ted Nugent,Three mass shootings were meant to distract from Hillary Clinton controversies.,pants-fire
Young America's Foundation,A doctor at the Mayo Clinic is misdiagnosing pregnancies of Trump supporters so they have abortions.,pants-fire
Facebook posts,“U.S. military at the White House arresting Congress.”,pants-fire
Facebook posts,“Military take over on May 11 confirmed!”,pants-fire
Facebook posts,“U.S. military arrests Michael Sussmann.”,pants-fire
Tweets,Ray Liotta died because of the COVID-19 vaccine.,pants-fire
Facebook posts,Says Barack Obama announced Joe Biden’s death.,pants-fire
Facebook posts,Joe Biden resigned and “Trump is the new president.”,pants-fire
Facebook posts,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,pants-fire
Facebook posts,Speedway is offering $500 fuel cards for $1.95 to help customers with rising fuel costs.,pants-fire
Facebook posts,"""Florida man on drugs kills imaginary friend and turns himself in.”",pants-fire
Bloggers,"""Pfizer CEO says it’s their dream to reduce the population by 50% in 2023.”",pants-fire
Emerald Robinson,“Nobody in any election in America gets 74% of the votes. Ever. It doesn’t happen.”,pants-fire
Instagram posts,"Active shooter drill at high school in Uvalde, Texas, two months before the elementary school shooting shows the event was a false flag.",pants-fire
Tweets,Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say “we don’t need stronger gun laws.”,pants-fire
Facebook posts,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",pants-fire
Instagram posts,A CNN story reported that Rice Krispies added a transgender mascot.,pants-fire
Tweets,"The shooting at an elementary school in Uvalde County, Texas, was a false flag.",pants-fire
Facebook posts,“Bill Gates is behind the monkeypox outbreaks.”,pants-fire
